Date,sp_500,algo,algo2,whale1,whale2,whale3,whale4
2013-05-09,-0.003700812,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-10,0.004303116,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-13,4.28457E-05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-14,0.010040355,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-15,0.005088077,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-16,-0.005034929,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-17,0.010195086,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-20,-0.00070816,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-21,0.001719428,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-22,-0.008342647,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-23,-0.002932427,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-24,-0.000551649,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-28,0.006300977,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-29,-0.007097964,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-30,0.003656893,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-05-31,-0.014514883,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-03,0.005900928,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-04,-0.005541321,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-05,-0.013972279,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-06,0.008418795,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-07,0.012669011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-10,-0.000346966,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-11,-0.010257482,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-12,-0.008440205,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
